Common/Warning,"警 告"
Common/Yes,"是"
Common/No,"否"
Common/None,"無"
TooltipMessage/MainToolBar/ChatButton,"對話"
TooltipMessage/MainToolBar/GameMenuButton,"遊戲選單"
TooltipMessage/WindowButtons/FileManager/Unlock,"檔案管理"
TooltipMessage/WindowButtons/FileManager/Lock,"尚未解鎖視窗：檔案管理"
TooltipMessage/WindowButtons/CommandLine/Unlock,"命令行"
TooltipMessage/WindowButtons/CommandLine/Lock,"尚未解鎖視窗：命令行"
TooltipMessage/WindowButtons/Browser/Unlock,"瀏覽器"
TooltipMessage/WindowButtons/Browser/Lock,"尚未解鎖視窗：瀏覽器"
TooltipMessage/FileContentWindow/RenameButton,"重新命名"
ChatButton/Title/Git Assistant,"Git 教學協助人員"
GameMenuButton/Menu/TitleText,"選 單"
GameMenuButton/Menu/BackToGame,"回到遊戲畫面"
GameMenuButton/Menu/RestartStage/Button,"重新開始本關"
GameMenuButton/Menu/RestartStage/Warning,"您確定重新開始本關卡嗎？
當前的遊戲進度不會保存"
GameMenuButton/Menu/BackToStageSelectScreen/Button,"回到選關畫面"
GameMenuButton/Menu/BackToStageSelectScreen/Warning,"您確定要回到選關畫面嗎？
當前的遊戲進度不會保存"
Story Background/Title/Default,"故 事 背 景"
Story Background/Title/Loading,"加 載 故 事 背 景 中"
Story Background/Content/None,"（無）"
FileManagerWindow/Title,"檔 案 管 理"
FileManagerWindow/LoadingText,"加載中"
FileContentWindow/ModifyContentMsg,"修改文件內容 ？"
FileContentWindow/DeleteContentMsg,"刪除文件內容 ？ "
FileContentWindow/AddContnetTitle,"選擇動作"
FileContentWindow/AddContnetButton,"新增檔案內容"
FileContentWindow/RenameFileTitle,"重新命名檔案"
FileContentWindow/CopyFileTitle,"選擇動作"
FileContentWindow/CopyFileButton,"備份此檔案"
FileContentWindow/WarningMsgTitle,"操作無效！"
FileContentWindow/CopyText,"(複製)"
Loading Message Panel/Loading,"創建新的故事背景中"
Loading Message Panel/Completed,"創建完成！"
Quest Filter/Message/Add Content/Wrong Quest,"如果當前目標不是 '增加內容'
不應該在檔案上增加內容"
Quest Filter/Message/Add Content/Wrong FileName,"如果不是當前目標要求的檔案
不應該在這個檔案上增加內容"
Quest Filter/Message/Rename File/Wrong Quest,"如果當前目標不是 '命名檔案'
不應該命名檔案"
Quest Filter/Message/Rename File/Wrong FileName,"如果不是當前目標要求的檔案
不應該命名這個檔案"
Quest Filter/Message/Copy File/Wrong Quest,"如果當前目標不是 '複製檔案'
不應該複製檔案"
Quest Filter/Message/Copy File/Wrong FileName,"如果不是當前目標要求的檔案
不應該複製這個檔案"
Quest Filter/Message/Modify File/Wrong Quest,"如果當前目標不是 '修改檔案內容'
不應該修改檔案內容"
Quest Filter/Message/Modify File/Wrong FileName,"如果不是當前目標要求的檔案
不應該修改這個檔案內容"
Quest Filter/Message/Modify File/Wrong Content,"請修改當前目標指定的行數內容"
Quest Filter/Message/Delete File/Wrong Quest,"如果當前目標不是 '刪除檔案內容'
不應該刪除檔案內容"
Quest Filter/Message/Delete File/Wrong FileName,"如果不是當前目標要求的檔案
不應該刪除這個檔案內容"
Quest Filter/Message/Delete File/Wrong Content,"請刪除當前目標指定的行數內容"
