Database,,,,,,,,,,,,,,,,
Name,Version,Author,Description,Emphasis1,Emphasis2,Emphasis3,Emphasis4,,,,,,,,,
GameDialogue,,,,#ffffffff ---,#ff0000ff ---,#00ff00ff ---,#0000ffff ---,,,,,,,,,
Global User Script,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Actors,,,,,,,,,,,,,,,,
ID,Portrait,AltPortraits,SpritePortrait,AltSpritePortraits,Name,Pictures,Description,IsPlayer,,,,,,,,
Number,Special,Special,Special,Special,Text,Files,Text,Boolean,,,,,,,,
1,,[],,[],Player,[],,TRUE,,,,,,,,
2,,[],Assets/05_Images/GUIPack-Clean&Minimalist/Sources/Game Controller/Game Controller/Steam/White_PNG/A-Button-Green-White.png,[],NPC,[],,FALSE,,,,,,,,
Items,,,,,,,,,,,,,,,,
ID,Name,Pictures,Description,Success Description,Failure Description,State,Is Item,Trackable,Track,Entry Count,Group,,,,,
Number,Text,Files,Text,Text,Text,Text,Boolean,Boolean,Boolean,Number,Text,,,,,
1,Game Introduction/1,[],"開啟 ""檔案管理"" 視窗",,,unassigned,FALSE,FALSE,TRUE,,StageID01,,,,,
2,Game Introduction/2,[],"備份文件 ""期中報告v1""",Well Done!,NONO,unassigned,FALSE,FALSE,TRUE,0,StageID01,,,,,
3,Game Introduction/3,[],為備份檔案命名,,,unassigned,FALSE,FALSE,TRUE,0,StageID01,,,,,
4,Game Introduction/4,[],精簡新版本檔案的內容,,,unassigned,FALSE,,,,StageID01,,,,,
5,Game Introduction/5,[],"備份文件 ""期中報告v2""",,,unassigned,FALSE,,,,StageID01,,,,,
6,Game Introduction/6,[],為備份檔案命名,,,unassigned,FALSE,,,,StageID01,,,,,
8,Game Introduction/7,[],調整新版本檔案的內容,,,unassigned,FALSE,,,,StageID01,,,,,
9,Create Local Repository/1,[],"開啟 ""命令行"" 視窗",,,unassigned,FALSE,,,,StageID03,,,,,
10,Create Local Repository/2,[],確認電腦中是否有 Git 系統,,,unassigned,FALSE,,,,StageID03,,,,,
11,Create Local Repository/3,[],移動到需要管理專案的路徑,,,unassigned,FALSE,,,,StageID03,,,,,
12,Create Local Repository/4,[],新建一個 Git 本地儲存庫,,,unassigned,FALSE,FALSE,FALSE,0,StageID03,,,,,
